Cluster,RNA Sequence
Cluster 8026,rna-NM_001199652.2.5
Cluster 8027,rna-XM_046937672.1.1
Cluster 8028,rna-NM_001397432.1.14
Cluster 8029,rna-XM_417046.7.2
Cluster 8030,rna-XM_040705674.2.12
Cluster 8031,rna-XM_040647846.2.15
Cluster 8032,rna-XM_041713263.1.3127
Cluster 8033,rna-XM_030257339.3.22
Cluster 8034,rna-XM_030292071.3.44
Cluster 8035,rna-XM_030255991.3.70
Cluster 8036,rna-XM_012571928.4.1
Cluster 8037,rna-XM_041718562.1.20
Cluster 8038,rna-NM_204584.1.4
Cluster 8039,rna-NM_204872.2.18
Cluster 8040,rna-NM_204119.2.46
Cluster 8041,rna-NM_001031548.3.5
Cluster 8042,rna-NM_001031595.2.9
Cluster 8043,rna-NM_001031522.3.20
Cluster 8044,rna-XM_046918538.1.1
Cluster 8045,rna-XM_416926.8.11
Cluster 8046,rna-XM_426171.7.23
Cluster 8047,rna-XM_015282185.4.1
Cluster 8048,rna-XM_420351.8.30
Cluster 8049,rna-XM_046904663.1.213
Cluster 8050,rna-XM_004937989.5.26
Cluster 8051,rna-XM_001235913.6.1
Cluster 8052,rna-NM_001321598.2.2
Cluster 8053,rna-XM_030258749.3.7
Cluster 8054,rna-XM_030267640.3.2
Cluster 8055,rna-XM_041716231.1.36
Cluster 8056,rna-XM_030282373.3.20
Cluster 8057,rna-XM_030269837.3.2
Cluster 8058,rna-XM_030265335.3.1
Cluster 8059,rna-XM_041713728.1.66513
Cluster 8060,rna-NM_001030952.2.1
Cluster 8061,rna-XM_046903265.1.2
Cluster 8062,rna-NM_001031210.2.5
Cluster 8063,rna-XM_426352.7.7
Cluster 8064,rna-NM_001257341.2.8
Cluster 8065,rna-NM_001044693.2.51
Cluster 8066,rna-XM_046942534.1.5
Cluster 8067,rna-XM_421455.8.71
Cluster 8068,rna-XM_015292855.4.13
Cluster 8069,rna-XM_420377.8.43
Cluster 8070,rna-XM_015277860.4.2
Cluster 8071,rna-XM_429544.8.4
Cluster 8072,rna-XM_004944504.5.42
Cluster 8073,rna-XM_015279128.4.21
Cluster 8074,rna-NM_001006151.2.19
Cluster 8075,rna-XM_046940302.1.83
Cluster 8076,rna-XM_030290166.3.47
Cluster 8077,rna-XM_041720331.1.54
Cluster 8078,rna-XM_040701419.2.5
Cluster 8079,rna-XM_414385.8.13
Cluster 8080,rna-XM_003641735.6.120
Cluster 8081,rna-NM_001167744.2.6
Cluster 8082,rna-NM_001252256.2.4
Cluster 8083,rna-XM_001231518.7.119
Cluster 8084,rna-XM_015276963.4.12
Cluster 8085,rna-NM_001199909.3.1
Cluster 8086,rna-XM_046904313.1.4
Cluster 8087,rna-XM_001232825.7.126
Cluster 8088,rna-NM_001396618.1.10
Cluster 8089,rna-XM_015278089.4.25
Cluster 8090,rna-XM_015284676.4.3
Cluster 8091,rna-XM_015285869.3.7
Cluster 8092,rna-NM_001006516.2.8
Cluster 8093,rna-XM_015290501.4.10
Cluster 8094,rna-XM_041711827.1.92
Cluster 8095,rna-XM_041716825.1.6
Cluster 8096,rna-XM_030270516.3.3
Cluster 8097,rna-XM_041718536.1.20
Cluster 8098,rna-XM_030275210.3.6
Cluster 8099,rna-XM_030258969.3.22
Cluster 8100,rna-XM_002197746.5.1
Cluster 8101,rna-XM_030278936.3.5
Cluster 8102,rna-NM_001194996.2.6
Cluster 8103,rna-NM_001012894.1.82
Cluster 8104,rna-XM_040653083.2.57
Cluster 8105,rna-XM_424403.8.58
Cluster 8106,rna-NM_001278150.2.1
Cluster 8107,rna-XM_046940039.1.33
Cluster 8108,rna-NM_001012814.2.4
Cluster 8109,rna-XM_004945399.5.15
Cluster 8110,rna-XM_025142352.3.27
Cluster 8111,rna-XM_025145796.3.203
Cluster 8112,rna-XM_004937414.5.4
Cluster 8113,rna-NM_001006374.2.1
Cluster 8114,rna-NM_001039294.2.40
Cluster 8115,rna-XM_015288218.4.9
Cluster 8116,rna-XM_418544.8.1
Cluster 8117,rna-XM_040648906.2.67
Cluster 8118,rna-XM_003642713.6.81
Cluster 8119,rna-XM_423721.8.222
Cluster 8120,rna-XM_015291649.3.12
Cluster 8121,rna-XM_025150652.3.116
Cluster 8122,rna-NM_213576.3.21
Cluster 8123,rna-NM_001024691.1.14
Cluster 8124,rna-XM_041712421.1.896
Cluster 8125,rna-XM_041720900.1.31
Cluster 8126,rna-XM_002192636.5.17
Cluster 8127,rna-XM_004175507.5.1
Cluster 8128,rna-XM_002192525.5.15
Cluster 8129,rna-XM_002194831.5.12
Cluster 8130,rna-XM_041711643.1.137
Cluster 8131,rna-NM_001030733.3.4
Cluster 8132,rna-XM_015297733.4.118
Cluster 8133,rna-XM_015288105.4.48
Cluster 8134,rna-NM_205216.2.5
Cluster 8135,rna-NM_001277445.1.12
Cluster 8136,rna-XM_004941276.5.116
Cluster 8137,rna-XM_025144190.3.57
Cluster 8138,rna-XM_015297589.4.121
Cluster 8139,rna-XM_040650077.2.18
Cluster 8140,rna-XM_046900800.1.15
Cluster 8141,rna-NM_204985.4.33
Cluster 8142,rna-XM_046898519.1.36
Cluster 8143,rna-NM_001278076.2.11
Cluster 8144,rna-XM_025154403.3.42
Cluster 8145,rna-XM_046898877.1.14
Cluster 8146,rna-NM_204182.3.14
Cluster 8147,rna-XM_004941954.5.9
Cluster 8148,rna-XM_002200611.5.6
Cluster 8149,rna-XM_030264708.3.5
Cluster 8150,rna-XM_030288995.3.18
Cluster 8151,rna-XM_030282408.3.20
Cluster 8152,rna-XM_002197953.6.18
Cluster 8153,rna-XM_012571468.4.14
Cluster 8154,rna-XM_046928007.1.1
Cluster 8155,rna-NM_001389387.2.5
Cluster 8156,rna-XM_015282128.4.1
Cluster 8157,rna-XM_425562.7.2
Cluster 8158,rna-XM_025147805.3.1
Cluster 8159,rna-XM_015278244.4.61
Cluster 8160,rna-NM_001013395.2.17
Cluster 8161,rna-XM_040703907.2.8
Cluster 8162,rna-NM_001006348.2.1
Cluster 8163,rna-NM_001398066.1.4
Cluster 8164,rna-XM_046898288.1.4
Cluster 8165,rna-NM_205283.3.11
Cluster 8166,rna-XM_015274774.4.2
Cluster 8167,rna-NM_001006193.2.22
Cluster 8168,rna-XM_030269977.3.2
Cluster 8169,rna-XM_030271880.3.3
Cluster 8170,rna-XM_030277495.3.11
Cluster 8171,rna-NM_001319023.2.3
Cluster 8172,rna-NM_001396665.1.142
Cluster 8173,rna-NM_001006177.2.3
Cluster 8174,rna-XM_015288631.4.9
Cluster 8175,rna-XM_004946828.5.18
Cluster 8176,rna-XM_015281086.4.62
Cluster 8177,rna-XM_040705255.2.36
Cluster 8178,rna-XM_040646036.2.21
Cluster 8179,rna-XM_015276418.4.97
Cluster 8180,rna-XM_015288857.4.9
Cluster 8181,rna-XM_415634.8.76
Cluster 8182,rna-XM_428765.8.8
Cluster 8183,rna-NM_001277809.1.22
Cluster 8184,rna-XM_426501.8.9
Cluster 8185,rna-XM_002195946.5.34
Cluster 8186,rna-XM_030258103.3.7
Cluster 8187,rna-XM_002191823.5.11
Cluster 8188,rna-XM_004175238.4.1
Cluster 8189,rna-XM_002192962.6.42
Cluster 8190,rna-XM_041720676.1.42
Cluster 8191,rna-XM_424416.8.6
Cluster 8192,rna-XM_416429.8.26
Cluster 8193,rna-XM_424699.7.6
Cluster 8194,rna-XM_003640790.6.1
Cluster 8195,rna-XM_015292648.4.16
Cluster 8196,rna-NM_001030703.2.28
Cluster 8197,rna-XM_040648157.2.22
Cluster 8198,rna-XM_015285993.3.7
Cluster 8199,rna-NM_001395997.1.9
Cluster 8200,rna-XM_040649512.2.28
Cluster 8201,rna-NM_001030878.2.49
Cluster 8202,rna-XM_004177129.4.70
Cluster 8203,rna-XM_002193209.5.3
Cluster 8204,rna-XM_041716948.1.8
Cluster 8205,rna-NM_001398190.1.1
Cluster 8206,rna-XM_015300054.4.84
Cluster 8207,rna-XM_015279838.4.17
Cluster 8208,rna-XM_422270.7.10
Cluster 8209,rna-XM_040697632.1.4
Cluster 8210,rna-XM_015297065.4.49
Cluster 8211,rna-XM_040702227.2.103
Cluster 8212,rna-XM_015297567.4.118
Cluster 8213,rna-NM_001277144.3.13
Cluster 8214,rna-XM_046941669.1.2
Cluster 8215,rna-XM_416914.8.11
Cluster 8216,rna-NM_001006230.2.4
Cluster 8217,rna-NM_001031352.4.8
Cluster 8218,rna-XM_015279524.4.17
Cluster 8219,rna-NM_001170528.1.6
Cluster 8220,rna-XM_419100.8.1
Cluster 8221,rna-XM_002194753.6.45
Cluster 8222,rna-XM_030277839.3.11
Cluster 8223,rna-XM_030279850.3.32
Cluster 8224,rna-XM_041713988.1.1
Cluster 8225,rna-XM_030267525.3.2
Cluster 8226,rna-XM_030287334.3.29
Cluster 8227,rna-XM_040703446.2.8
Cluster 8228,rna-XM_418982.8.1
Cluster 8229,rna-NM_001293106.2.40
Cluster 8230,rna-NM_001012819.2.34
Cluster 8231,rna-NM_001398055.1.56
Cluster 8232,rna-NM_204868.2.96
Cluster 8233,rna-XM_015279476.4.17
Cluster 8234,rna-NM_001389512.2.5
Cluster 8235,rna-XM_015283617.4.73
Cluster 8236,rna-XM_424397.8.58
Cluster 8237,rna-NM_001031045.4.3
Cluster 8238,rna-XM_046905282.1.6
Cluster 8239,rna-XM_420183.8.61
Cluster 8240,rna-XM_040704336.2.8
Cluster 8241,rna-XM_025143541.3.111
Cluster 8242,rna-NM_204196.2.6
Cluster 8243,rna-XM_424609.8.158
Cluster 8244,rna-NM_001030649.2.110
Cluster 8245,rna-XM_046939303.1.3
Cluster 8246,rna-XM_015299606.4.57
Cluster 8247,rna-NM_205321.2.9
Cluster 8248,rna-XM_416657.8.11
Cluster 8249,rna-XM_030285813.3.59
Cluster 8250,rna-XM_041712382.1.640
Cluster 8251,rna-XM_030271867.3.3
Cluster 8252,rna-XM_015284732.4.3
Cluster 8253,rna-NM_204897.2.1
Cluster 8254,rna-NM_001398143.1.80
Cluster 8255,rna-XM_015298172.4.52
Cluster 8256,rna-XM_046898352.1.90
Cluster 8257,rna-XM_003642532.6.89
Cluster 8258,rna-XM_015278002.4.1
Cluster 8259,rna-XM_040656255.2.6
Cluster 8260,rna-XM_015296569.4.38
Cluster 8261,rna-NM_001199422.2.5
Cluster 8262,rna-XM_004948890.5.84
Cluster 8263,rna-XM_015279064.4.32168
Cluster 8264,rna-NM_205070.2.9
Cluster 8265,rna-NM_001005841.2.21
Cluster 8266,rna-XM_040698614.2.40
Cluster 8267,rna-XM_041721145.1.95
Cluster 8268,rna-XM_041720239.1.18
Cluster 8269,rna-XM_030256622.3.93
Cluster 8270,rna-XM_030272929.2.10
Cluster 8271,rna-XM_041721202.1.56
Cluster 8272,rna-XM_001231603.5.89
Cluster 8273,rna-NM_001031310.1.12
Cluster 8274,rna-XM_025150074.3.33
Cluster 8275,rna-XM_004938530.5.11
Cluster 8276,rna-XM_015278968.4.28782
Cluster 8277,rna-XM_040706715.2.372
Cluster 8278,rna-XM_015294918.4.22
Cluster 8279,rna-XM_046898705.1.90
Cluster 8280,rna-XM_419728.8.23
Cluster 8281,rna-NM_001004411.1.12
Cluster 8282,rna-XM_015295661.4.18
Cluster 8283,rna-XM_040695728.1.1
Cluster 8284,rna-XM_004938747.5.2
Cluster 8285,rna-NM_001397667.1.11
Cluster 8286,rna-XM_002188993.6.57
Cluster 8287,rna-XM_025150569.3.2
Cluster 8288,rna-NM_001389536.2.49
Cluster 8289,rna-NM_204362.1.98
Cluster 8290,rna-XM_015282421.4.1
Cluster 8291,rna-XM_015290949.4.10
Cluster 8292,rna-NM_204542.3.5
Cluster 8293,rna-NM_001345995.2.95
Cluster 8294,rna-XM_428503.8.1
Cluster 8295,rna-XM_015294931.4.22
Cluster 8296,rna-XM_046898446.1.36
Cluster 8297,rna-NM_001114126.2.9
Cluster 8298,rna-NM_001305090.3.5
Cluster 8299,rna-NM_205219.2.27
Cluster 8300,rna-XM_046944377.1.10
Cluster 8301,rna-NM_204951.3.10
Cluster 8302,rna-NM_001030896.2.51
Cluster 8303,rna-NM_001328355.1.57
Cluster 8304,rna-XM_030283041.3.13
Cluster 8305,rna-XM_002188461.5.30
Cluster 8306,rna-XM_041718569.1.20
Cluster 8307,rna-XM_030281086.3.19
Cluster 8308,rna-XM_030283527.3.58
Cluster 8309,rna-XM_002194964.5.18
Cluster 8310,rna-XM_030269548.3.5
Cluster 8311,rna-XM_030267268.3.5
Cluster 8312,rna-XM_030274634.3.6
Cluster 8313,rna-XM_041714071.1.1
Cluster 8314,rna-XM_030256514.3.37
Cluster 8315,rna-XM_040671939.2.2
Cluster 8316,rna-NM_204957.3.8
Cluster 8317,rna-NM_204482.2.12
Cluster 8318,rna-XM_425994.8.1
Cluster 8319,rna-XM_015284257.4.23
Cluster 8320,rna-XM_040653638.2.86
Cluster 8321,rna-NM_001030734.2.4
Cluster 8322,rna-XM_040695788.2.1
Cluster 8323,rna-NM_001030995.2.41
Cluster 8324,rna-XM_046900519.1.19
Cluster 8325,rna-XM_015289481.4.8
Cluster 8326,rna-XM_426188.8.3
Cluster 8327,rna-XM_040706077.2.12
Cluster 8328,rna-NM_001278061.2.52
Cluster 8329,rna-NM_204750.1.4
Cluster 8330,rna-XM_040656103.2.4
Cluster 8331,rna-NM_205313.2.57
Cluster 8332,rna-NM_001007830.2.29
Cluster 8333,rna-XM_040698994.2.11
Cluster 8334,rna-XM_040651855.2.51
Cluster 8335,rna-NM_001321600.2.1
Cluster 8336,rna-XM_424803.8.6
Cluster 8337,rna-XM_002195767.6.11
Cluster 8338,rna-XM_041712995.1.605
Cluster 8339,rna-XM_046905684.1.2
Cluster 8340,rna-NM_001006447.2.7
Cluster 8341,rna-XM_040701099.2.71
Cluster 8342,rna-XM_414186.8.16
Cluster 8343,rna-NM_204526.2.34
Cluster 8344,rna-XM_015279028.4.31
Cluster 8345,rna-XM_015289615.4.8
Cluster 8346,rna-XM_025153764.3.12
Cluster 8347,rna-NM_001199390.2.110
Cluster 8348,rna-XM_418259.8.70
Cluster 8349,rna-XM_025150559.3.5
Cluster 8350,rna-XM_416596.8.34
Cluster 8351,rna-NM_001031370.3.4
Cluster 8352,rna-XM_004949578.4.29
Cluster 8353,rna-XM_004946708.5.18
Cluster 8354,rna-XM_416945.8.11
Cluster 8355,rna-XM_415804.8.18
Cluster 8356,rna-XM_025142592.3.89
Cluster 8357,rna-NM_204549.3.12
Cluster 8358,rna-NM_001030749.2.4
Cluster 8359,rna-XM_030289718.3.47
Cluster 8360,rna-XM_030267936.3.2
Cluster 8361,rna-XM_030275475.3.6
Cluster 8362,rna-XM_041712276.1.125
Cluster 8363,rna-XM_041721045.1.422
Cluster 8364,rna-XM_419079.7.1
Cluster 8365,rna-XM_046902298.1.18
Cluster 8366,rna-XM_001233319.7.6
Cluster 8367,rna-NM_205024.2.8
Cluster 8368,rna-XM_046902683.1.18
Cluster 8369,rna-XM_015287778.4.5
Cluster 8370,rna-NM_001031144.3.108
Cluster 8371,rna-XM_046903782.1.69
Cluster 8372,rna-NM_001006259.3.2
Cluster 8373,rna-XM_015288964.4.9
Cluster 8374,rna-XM_040649429.2.17
Cluster 8375,rna-XM_015287198.3.5
Cluster 8376,rna-XM_417845.8.69
Cluster 8377,rna-XM_015292738.4.42
Cluster 8378,rna-XM_040705071.2.10
Cluster 8379,rna-XM_015288679.4.4
Cluster 8380,rna-XM_030280974.3.48
Cluster 8381,rna-XM_030263356.3.30
Cluster 8382,rna-XM_030288265.3.27
Cluster 8383,rna-XM_002194374.6.13
Cluster 8384,rna-XM_030263389.3.30
Cluster 8385,rna-XM_041711575.1.74
Cluster 8386,rna-XM_032748876.2.6
Cluster 8387,rna-XM_015300167.4.70
Cluster 8388,rna-XM_040647920.2.68
Cluster 8389,rna-XM_004935131.4.1
Cluster 8390,rna-XM_040702309.2.9
Cluster 8391,rna-XM_001231700.6.89
Cluster 8392,rna-NM_001318427.1.4
Cluster 8393,rna-XM_015282935.4.1
Cluster 8394,rna-XM_414685.7.6
Cluster 8395,rna-XM_040653272.2.57
Cluster 8396,rna-XM_426020.8.45
Cluster 8397,rna-NM_001030971.2.1
Cluster 8398,rna-NM_001030824.2.2
Cluster 8399,rna-XM_040698480.2.23
Cluster 8400,rna-NM_204651.2.38
Cluster 8401,rna-NM_001277408.1.12
Cluster 8402,rna-XM_030280881.3.12
Cluster 8403,rna-XM_041712019.1.98
Cluster 8404,rna-XM_041712755.1.19003
Cluster 8405,rna-XM_030264597.3.1
Cluster 8406,rna-XM_041720681.1.90
Cluster 8407,rna-NM_205233.2.28
Cluster 8408,rna-XM_040652167.2.52
Cluster 8409,rna-NM_001006131.3.16
Cluster 8410,rna-NM_204490.2.61
Cluster 8411,rna-NM_205237.4.71
Cluster 8412,rna-XM_046938229.1.1
Cluster 8413,rna-NM_001291971.1.28
Cluster 8414,rna-XM_025144276.3.2
Cluster 8415,rna-NM_204432.1.1
Cluster 8416,rna-XM_030286338.3.5
Cluster 8417,rna-XM_032750506.2.20
Cluster 8418,rna-XM_030276091.3.5
Cluster 8419,rna-XM_418455.6.1
Cluster 8420,rna-XM_422836.8.12
Cluster 8421,rna-XM_046944255.1.10
Cluster 8422,rna-XM_015290808.4.10
Cluster 8423,rna-XM_422542.8.157
Cluster 8424,rna-NM_206980.3.3
Cluster 8425,rna-NM_001396047.1.3
Cluster 8426,rna-XM_429175.8.66
Cluster 8427,rna-XM_046940332.1.92
Cluster 8428,rna-XM_040702867.2.103
Cluster 8429,rna-XM_030271448.3.3
Cluster 8430,rna-XM_012572813.4.2
Cluster 8431,rna-XM_030260721.3.122
Cluster 8432,rna-XM_002194650.5.18
Cluster 8433,rna-XM_030275272.3.6
Cluster 8434,rna-XM_002198362.6.4
Cluster 8435,rna-XM_041715379.1.34
Cluster 8436,rna-XM_030274437.3.6
Cluster 8437,rna-XM_030283301.3.5
Cluster 8438,rna-XM_046939360.1.128
Cluster 8439,rna-NM_001030789.2.11
Cluster 8440,rna-NM_001033641.2.1
Cluster 8441,rna-NM_001024583.2.4
Cluster 8442,rna-XM_015293684.4.19
Cluster 8443,rna-XM_015288416.3.9
Cluster 8444,rna-NM_001004369.2.31
Cluster 8445,rna-XM_417402.8.38
Cluster 8446,rna-XM_426515.8.9
Cluster 8447,rna-XM_418430.8.1
Cluster 8448,rna-XM_030288798.3.18
Cluster 8449,rna-XM_041712103.1.101
Cluster 8450,rna-XM_012568676.4.27
Cluster 8451,rna-XM_041717540.1.25
Cluster 8452,rna-XM_041718831.1.13
Cluster 8453,rna-XM_041720496.1.47
Cluster 8454,rna-XM_419682.7.23
Cluster 8455,rna-XM_046943101.1.9
Cluster 8456,rna-XM_004937468.5.4
Cluster 8457,rna-NM_001006266.3.11
Cluster 8458,rna-XM_040651515.2.58
Cluster 8459,rna-XM_414566.7.19
Cluster 8460,rna-XM_015298658.4.105
Cluster 8461,rna-XM_001231828.7.1
Cluster 8462,rna-NM_001024831.4.1
Cluster 8463,rna-XM_004935883.5.40
Cluster 8464,rna-XM_012578527.4.29
Cluster 8465,rna-XM_030279904.3.12
Cluster 8466,rna-XM_030288981.3.18
Cluster 8467,rna-XM_030284999.3.16
Cluster 8468,rna-XM_015273648.4.57
Cluster 8469,rna-XM_427638.8.121
Cluster 8470,rna-NM_001031245.3.35
Cluster 8471,rna-XM_417164.7.2
Cluster 8472,rna-XM_015292295.4.21
Cluster 8473,rna-XM_417569.6.49
Cluster 8474,rna-XM_015286684.4.26
Cluster 8475,rna-XM_424982.8.6
Cluster 8476,rna-NM_001079750.2.2
Cluster 8477,rna-NM_204997.2.11
Cluster 8478,rna-XM_046900148.1.2
Cluster 8479,rna-XM_015297197.4.89
Cluster 8480,rna-XM_426402.8.5
Cluster 8481,rna-XM_003642006.6.13
Cluster 8482,rna-NM_205358.2.17
Cluster 8483,rna-NM_001012602.2.12
Cluster 8484,rna-XM_015299070.4.59
Cluster 8485,rna-XM_414378.8.13
Cluster 8486,rna-XM_030286716.3.5
Cluster 8487,rna-XM_004174837.5.8
Cluster 8488,rna-XM_030258929.3.22
Cluster 8489,rna-XM_030285935.3.26
Cluster 8490,rna-XM_030260167.3.92
Cluster 8491,rna-XM_419535.8.39
Cluster 8492,rna-XM_424742.8.6
Cluster 8493,rna-XM_423130.8.16
Cluster 8494,rna-XM_046938725.1.3
Cluster 8495,rna-XM_040702814.2.9
Cluster 8496,rna-XM_046900067.1.13
Cluster 8497,rna-XM_001232082.7.32
Cluster 8498,rna-XM_001233463.6.17
Cluster 8499,rna-NM_001001765.2.1
Cluster 8500,rna-NM_001396502.1.13
Cluster 8501,rna-NM_001006575.3.66
Cluster 8502,rna-NM_204702.2.544
Cluster 8503,rna-XM_040696859.2.25
Cluster 8504,rna-XM_417739.8.118
Cluster 8505,rna-XM_030272009.3.3
Cluster 8506,rna-XM_015295254.4.28
Cluster 8507,rna-XM_004939130.5.1
Cluster 8508,rna-XM_025149473.3.2
Cluster 8509,rna-XM_046899246.1.31
Cluster 8510,rna-XM_046926957.1.11
Cluster 8511,rna-NM_001030755.2.4
Cluster 8512,rna-XM_046904614.1.70
Cluster 8513,rna-NM_205388.2.331
Cluster 8514,rna-XM_417369.8.27
Cluster 8515,rna-NM_001113167.1.5
Cluster 8516,rna-XM_046938393.1.25
Cluster 8517,rna-NM_001037831.4.38
Cluster 8518,rna-XM_046925093.1.1
Cluster 8519,rna-XM_046898845.1.12
Cluster 8520,rna-NM_205177.2.5
Cluster 8521,rna-XM_001231544.7.3
Cluster 8522,rna-XM_030263048.3.4
Cluster 8523,rna-NM_001271986.2.33
Cluster 8524,rna-XM_015290055.3.8
Cluster 8525,rna-XM_040697020.2.25
Cluster 8526,rna-NM_001199421.2.3
Cluster 8527,rna-XM_421702.6.9
Cluster 8528,rna-XM_416590.8.34
Cluster 8529,rna-XM_426398.7.5
Cluster 8530,rna-XM_004945464.4.95
Cluster 8531,rna-NM_001012945.2.29
Cluster 8532,rna-NM_001278101.5.11
Cluster 8533,rna-XM_015275510.4.22
Cluster 8534,rna-NM_205426.2.32
Cluster 8535,rna-XM_046920743.1.1
Cluster 8536,rna-NM_001006571.3.6
Cluster 8537,rna-XM_003641890.6.21
Cluster 8538,rna-NM_001006178.2.3
Cluster 8539,rna-NM_001293209.3.31
Cluster 8540,rna-XM_422628.8.12
Cluster 8541,rna-XM_002187931.4.36
Cluster 8542,rna-XM_030279640.3.9
Cluster 8543,rna-XM_041715924.1.3
Cluster 8544,rna-XM_001235035.7.18
Cluster 8545,rna-NM_001396913.1.37
Cluster 8546,rna-NM_001318437.1.19
Cluster 8547,rna-XM_015299062.4.59
Cluster 8548,rna-NM_204637.2.4
Cluster 8549,rna-XM_015291626.4.12
Cluster 8550,rna-NM_204406.2.30
Cluster 8551,rna-XM_040704486.2.10
Cluster 8552,rna-XM_015283772.4.39
Cluster 8553,rna-NM_001199519.2.9
Cluster 8554,rna-XM_015281689.4.45
Cluster 8555,rna-XM_015285488.4.4
Cluster 8556,rna-XM_002190379.5.28
Cluster 8557,rna-XM_030277541.3.11
Cluster 8558,rna-XM_004949014.5.6
Cluster 8559,rna-XM_424610.8.158
Cluster 8560,rna-XM_046938921.1.3
Cluster 8561,rna-XM_003643075.6.72
Cluster 8562,rna-XM_040699411.2.7
Cluster 8563,rna-XM_040706299.1.14
Cluster 8564,rna-XM_421903.7.8
Cluster 8565,rna-XM_025152631.3.8
Cluster 8566,rna-NM_001005830.2.14
Cluster 8567,rna-XM_417851.8.69
Cluster 8568,rna-XM_015276773.4.71
Cluster 8569,rna-XM_041720636.1.47
Cluster 8570,rna-XM_030268391.3.2
Cluster 8571,rna-XM_041713708.1.4
Cluster 8572,rna-XM_030270752.3.3
Cluster 8573,rna-XM_046909667.1.93
Cluster 8574,rna-NM_001039287.3.23
Cluster 8575,rna-XM_015300308.4.122
Cluster 8576,rna-XM_424914.8.29
Cluster 8577,rna-NM_001031278.2.10
Cluster 8578,rna-NM_001037824.2.19
Cluster 8579,rna-NM_001012542.2.11
Cluster 8580,rna-XM_425832.7.88
Cluster 8581,rna-XM_046904337.1.85
Cluster 8582,rna-XM_030281126.3.40
Cluster 8583,rna-XM_040651197.2.4
Cluster 8584,rna-NM_205421.3.38
Cluster 8585,rna-XM_015282186.4.1
Cluster 8586,rna-NM_213573.2.75
Cluster 8587,rna-NM_204694.2.687
Cluster 8588,rna-NM_001389292.2.45
Cluster 8589,rna-XM_015299886.3.84
Cluster 8590,rna-XM_015291298.4.4
Cluster 8591,rna-NM_001277491.2.22
Cluster 8592,rna-XM_040654815.1.165
Cluster 8593,rna-XM_015281586.4.1
Cluster 8594,rna-XM_046900661.1.15
Cluster 8595,rna-XM_003640331.6.4
Cluster 8596,rna-XM_040707104.2.16
Cluster 8597,rna-XM_015300096.4.84
Cluster 8598,rna-XM_015292616.4.16
Cluster 8599,rna-NM_001030545.2.31
Cluster 8600,rna-XM_003641208.6.7
Cluster 8601,rna-XM_032749366.2.11
Cluster 8602,rna-XM_030260171.3.151
Cluster 8603,rna-XM_041718375.1.19
Cluster 8604,rna-XM_025148142.3.1
Cluster 8605,rna-XM_015291281.4.10
Cluster 8606,rna-XM_015285316.4.264
Cluster 8607,rna-XM_025152149.3.8
Cluster 8608,rna-XM_046944149.1.8
Cluster 8609,rna-XM_003640318.5.4
Cluster 8610,rna-XM_004946179.5.28
Cluster 8611,rna-NM_204519.2.18
Cluster 8612,rna-XM_040646771.1.13
Cluster 8613,rna-XM_015286583.4.5
Cluster 8614,rna-XM_015296479.4.27
Cluster 8615,rna-NM_001309372.2.17
Cluster 8616,rna-XM_040649854.2.28
Cluster 8617,rna-NM_001164084.4.4
Cluster 8618,rna-NM_001277739.1.2
Cluster 8619,rna-NM_001031569.2.13
Cluster 8620,rna-XM_418536.7.1
Cluster 8621,rna-XM_040645926.2.16
Cluster 8622,rna-XM_415629.7.28
Cluster 8623,rna-NM_001017412.2.19592
Cluster 8624,rna-XM_025148940.3.3
Cluster 8625,rna-NM_001030835.2.104
Cluster 8626,rna-XM_030277341.3.5
Cluster 8627,rna-XM_030272971.3.36
Cluster 8628,rna-XM_030287471.3.61
Cluster 8629,rna-XM_002192172.6.4
Cluster 8630,rna-XM_030259469.3.75
Cluster 8631,rna-XM_041715826.1.3
Cluster 8632,rna-NM_001305422.2.7
Cluster 8633,rna-XM_025146768.3.2
Cluster 8634,rna-NM_001197236.2.2
Cluster 8635,rna-XM_004944259.5.16
Cluster 8636,rna-XM_040651049.2.27
Cluster 8637,rna-NM_001007972.2.36
Cluster 8638,rna-XM_025142266.3.38
Cluster 8639,rna-NM_001012608.2.6
Cluster 8640,rna-NM_001031027.2.81
Cluster 8641,rna-XM_422661.8.120
Cluster 8642,rna-XM_040699467.2.2
Cluster 8643,rna-XM_041712570.1.104
Cluster 8644,rna-XM_030277867.3.11
Cluster 8645,rna-XM_030257966.3.28
Cluster 8646,rna-XM_030277020.3.69
Cluster 8647,rna-XM_030267673.3.2
Cluster 8648,rna-XM_025148013.3.1
Cluster 8649,rna-XM_414168.8.16
Cluster 8650,rna-XM_040698773.2.56
Cluster 8651,rna-XM_418759.7.1
Cluster 8652,rna-XM_424874.8.54
Cluster 8653,rna-XM_015277327.4.2
Cluster 8654,rna-XM_040654470.2.4
Cluster 8655,rna-XM_001232577.6.1
Cluster 8656,rna-XM_030256011.3.63
Cluster 8657,rna-XM_041711830.1.170
Cluster 8658,rna-XM_046904673.1.84
Cluster 8659,rna-XM_015284836.4.3
Cluster 8660,rna-NM_001319027.2.2
Cluster 8661,rna-XM_015302682.4.2
Cluster 8662,rna-XM_429141.8.6
Cluster 8663,rna-NM_001030709.2.18
Cluster 8664,rna-XM_025149273.2.223
Cluster 8665,rna-NM_001012839.2.58
